at,userName,response,score,label
2023-07-22 07:26:59,AK 47,Potongan penjualannya mahal. Ya kalai barang 300rb potongan gan 15rb + potongan gratis ongkir 10rb. Hampir gk ad labanya ane jualan dsini. Untuk masih ad bukalapak & shope. Biarpun kerjasama sama kurir tp beban gratis ongkir gk sepenuhnya d bebankan ke seller. Kalau tokopedia beban ie seller besar banget repot untuk penjual2 kecill.,1,Positif
2023-07-22 06:40:11,Putra,"Wow diskonnya bohong, pas check out menggunakan kupon eh dibatalkan sistem padahal beli headset doang. Kuponnya ga balik lagi dan hangus haduh. Mana harus milih mau gratis ongkir atau cashback/diskon. Ada biaya aplikasi dan layanan, banyak banget ya. Congrats tokopedia, you just make everyone go away easly.",1,Positif
2023-07-22 05:04:23,Ahmad Muhaimin,"Pake toped buat belanja jarang,kalau bukan karena kepepet contohnya beli vape/liquid atau sparepart nya yang tidak tersedia di e-commerce lain Alasannya karena kalau pakai voucher gratis ongkir gak bisa pilih kurir,jadi toped pilih kurir yang bisa dibilang murahan,yang hasilnya lambat dan tentunya kapok",1,Negatif
2023-07-22 03:23:54,Melani Ayu Ariyaza,"Kurir rekomendasi tokopedia tolonglah di seleksi bener"". Masa iya kurir rekomendasi harusnya cepet dong sampenya daripada kurir reguler. Pake kurir reguler aja biasa 3-4 hari sampe ini malah pake kurir rekomendasi hampir 10 hari ga sampe"" mana barang urgent butuh banget mau dipake keperluan kerja.",1,Positif
2023-07-22 03:06:45,ita lanlan,"wah gila ni apk diskriminasi, aku dapat vocer 35rb pas tak pakai beli di batalkan sistem dan gak di kembalikan dong diskon 35rb nya, dan ongkir 1 kota bikin pusing masa ongkir di 1 kota yang sama 16.900 dong kalau mau gratis ongkir vocer diskon gak bisa di pakai, di toko biru 1 kota cuma 6.500 di toko oren 7.000 dan selalu ada gratis ongkir dan selalu kasih cashback contoh toko biru belanja kosmetik 10 item harga 55rb aku cuma bayar 18rb, toko pedia apa kasih diskon 35rb eh di batalin sistem",1,Negatif
2023-07-22 02:47:34,Alvin Adama Putra,"Pengguna lama yang tidak akan menggunakan aplikasi tokped kembali, sistem keamanan rendah, mudah dibobol baru banget kebobolan, dibilang transaksi real time atau resmi, csnya kurang kompeten dalam menangani masalah. Jelek deh mending pindah ke toko oren aja.",1,Negatif
2023-07-22 02:32:45,Alis Anjay,Makin lama makin mahal ya bunganya :) Apalagi yang paylater. Niatnya pengen enak beli onlen disini tapi setelah dipikir lagi mending ke toko offline aja :) Terakhir belanja bulan Mei karena disini ada layanan kurir gosend. Butuh mepet-mepet. Selain itu di paylater ga bisa bayar lunas full. Mesti perbulan sekian. Ga kek aplikasi sebelah bisa dicicil sekalian gitu. Aku sih maunya langsung lunas pas ada duitnya 😂 ga mau pake tokped lagi wkwkw mahal bet. Udah sih gitu aja,1,Negatif
2023-07-22 02:15:08,Abidzar Channel,Iklan di aplikasinya bikin sakit mata slidenya sangat cepat.... coba diperbaiki yg nyaman dimata min,2,Netral
2023-07-22 01:41:20,davlog arts,"Barang tidak dapat, uang pun tidak direfund, chat tokopedia care pun ga ada solusi malah di diemin, sudah lama pakai tokped baru sekarang gw tau bobrok nya, mungkin sudah saatnya pindah kesebelah",1,Negatif
2023-07-22 01:11:37,Wahyuni Wahyuni,"Entahlah, baru pertama belanja di tokopedia udah di bikin kecewa, aku kira bakalan lebih bagus dari toko sebelah, eh ternyata malah lebih mengecewakan",4,Positif
2023-07-22 00:51:50,Calon Tukang kayu,Sekarang kok berat ya aplikasinya ?ga bisa sat set kayak dulu padahal koneksi lancar.,3,Positif
2023-07-21 15:14:11,sucipto el faries,"Dah lama berlangganan di Toped dan baik² aja, tapi baru² ini ada paketku yg hilang atau tidak sampai dengan nominal yg lumayan, tak satupun ada yg mau bertanggung jawab, baik dari pihak penjual, expedisi maupun Toped.",1,Negatif
2023-07-21 15:01:15,Gibran Shariati,Tolong dong tokopedia diperbaiki ongkir nya jangan terlalu mahal mahal masa iya saya beli ikan yang harga 20 rb sama ongkir jadi 40 rb itu kemahalan di ongkir dari pada harga barangnya tolong ongkir nya di murahin kayak toko sebelah dan ada in system per cod an sama voucher gratis ongkir nya saya tunggu ya perbaikan nya 😊,2,Netral
2023-07-21 13:18:21,Vina Swandari,"Pengajuan komplain di aplikasi, selalu keluar lagi, tidak dapat di pilih saat proses akhir, aplikasi langsung tertutup sendiri",1,Negatif
2023-07-21 11:37:55,Adi Abiyasa,Belum pernah transaksi tapi ga bisa pake voucher pengguna baru gara gara pembayaran loading mulu tiba tiba keluar pas mau check out lgi ga bisa,1,Negatif
2023-07-21 10:55:21,M farhannul Hakim,"Tolong tokopedia hilangkan aja expedisi anteraja,sudah 2 hari paket tidak terkirim padahal saya pilih yang NextDay supaya cepat tapi sampai sekarang belum ada kejelasan,masih stuck di hub awal",1,Positif
2023-07-21 10:22:20,naa waridatk,"Tidak rekomendasi banget, pake voucher aja ribet. Udah bayar d Indomart pake voucher, tau² pesanan d cancel karena indikasi penyalahgunaan voucher. BUANG WAKTU. FIX BAKALAN PAKE SHOPEE ONLY.",1,Negatif
2023-07-21 08:30:32,Yuko Gunawan,Terpaksa saya turunkan jadi bintang 1 .. Saya pengguna setia Tokopedia.. Saya nggak pakai marketplace lainnya.. Tapi sayang banget.. Aplikasinya sekarang LEMOT banget.. Jadi bikin banyak wkt yg terbuang. Tolong ditingkatkan dong.. Kalau dah normal lagi saya kasih bintang 5 lagi..,1,Positif
2023-07-21 08:06:00,Setyo Puruhito,"Pendaftaran paylater gak usah disebut menggunakan E-KTP, kalau masih harus foto menggunakan KTP fisik, kan ada aplikasi identitas kependudukan yang dikeluarkan oleh kementerian kependudukan, tinggal mengajukan ke kementerian supaya langsung terhubung dengan aplikasi Tokopedia, atau bisa koneksi dengan data Bank, karena repot harus mengurus KTP lagi yang sudah mulai tak terbaca",4,Positif
2023-07-21 07:25:20,ervan harris kristanto,Semakin lama semakin banyak biaya. Bagaimana user yang aktif menggunakan tokped untuk belanja bisa nyaman klo harga beli ketambahan biaya ini itu. Sampai dibuat komikstrip yang satir tentang tokped. Tobat tobat biaya tambahannya.,1,Negatif
2023-07-21 03:39:11,Fajri Zein,Transaksi saya selalu di batalkan.. alasanya kesamaan ini itu.. Percuma punya kupon diskon.. kalo ujung2nya ga bisa dipake.. jgn diadain sekalian.. sy sudah numpang2 transfer.. kesamaan data pembayaran apalah,1,Negatif
2023-07-21 02:49:50,Haqqi Azizi,Pelayanan kurir dari Tokopedia sangat buruk dari anteraja oke tapi setelah di tangani JNE sangat buruk Ketika komplain juga harus menunggu 4 hari tanpa ada info apapun dari Tokopedia atau kurir uang yang di belanjakan tidak bisa di gunakan untuk membeli barang kembali juga kehilangan kupon promo Sangat buruk,1,Negatif
2023-07-21 02:42:39,HERY -,"Saya membeli lem korea 2 pcs ditokopedia, tapi pas datang isinya kosong. Hanya cangkangnya yg dikirim, akhirnya saya return, tapi pas pengembalian dana..hanya setengahnya saja yg masuk....tokopedia maupun seller sangat merugikan..saya harus menghapus aplikasi ini dari perangkat saya...👎👎👎",1,Negatif
2023-07-21 01:43:12,Ari Pambudi,"Aplikasi mantap 👍👍 Tapi versi terbaru sekarang buka feed boros data. Padahal video sudah dimatikan lewat opsi / pengaturan aplikasinya sendiri. Walau sudah scroll ke bawah, data tetap mengalir. Tolong diperbaiki.",5,Positif
2023-07-20 23:23:53,Surya Afandhi,"Layanan bagus. Hanya saja kupon ga bisa dipakai kalau pakai bebas ongkir, padahal yang diluar pulau Jawa pasti membutuhkan promo tersebut (diskon + gratis ongkir).",3,Positif
2023-07-20 20:11:31,Arviyan pratama,"Tolong sistem tukar tambah d perbaiki, soalnya perizinan akses sudah d berikan, akan tetapi nolak terus.",2,Netral
2023-07-20 19:33:36,Pungky Azis Akbar Riansyah,"Promo isinya cuman PHP, giliran sudah dibayar atau checkout tiba2 dibatalkan oleh sistem dengan alasan identitas akun mirip dengan akun milik orang lain, jelas gak masuk akal alasannya. Lucunya lagi sesudah dikomplain malah penanganan termasuk lama untuk masalah seperti yg saya alami. Daripada PHP pengguna mendingan tidak usah mengadakan iming2 promo potongan atau diskon bos. Sistem buruk payah",1,Negatif
2023-07-20 15:59:13,Suku Chaniago,"Makin ke sini tokped makin ga asik. Dulu promonya asli. Dulu belanja di official store atau belanja dengan jumlah minimum tertentu dapat Gratis ongkir Rp. 0. Belum lagi kupon yang betul bisa digunakan. Sekarang mah iklan nya ajaaaa Rp. 0. Kupon memang dapat tapi gak bisa digunakan. Beli token kalau gagal pengisian lama prosesnya, dan tidak ada pengembalian dana",1,Negatif
2023-07-20 14:36:33,Bayu Gatra Wanarus,awalnya saya sering belanja di tokped..kenapa skrg banyak banget biaya lainnya.. klopun ada biaya aneh2 setidaknya pengiriman jga cepat..dan perbanyak pembayaran via cod.,2,Netral
2023-07-20 13:34:40,Nila,"Sorry ya Tokopedia saya sangat kecewa dgn pelayanan yg skrg, Pesanan saya dr tgl 13 Juli sampai skrg tgl 20 blm sampai, dan status pengiriman hanya di update sampai tgl 15 saja habis itu tdk ada sama sekali pergerakan. Saya tdk perpanjang est brnbdi terima , tp tiba2 berubah estimasi nya pdhl saya baru saja mau mengajukan komplain. Dan sampai detik ini pun saya gak tau brng saya dmn, saya gak tau kendala nya gmn. Kecewa saya",1,Negatif
2023-07-20 11:57:18,Ero Juhara,"Hapus Fitur Kurir Rekomendasi !!,,, satu paket jadi dikirim oleh 2 jasa pengiriman,, tiap jasa pengiriman rata2 3 hari jadinya sampe seminggu,, proses pengiriman jadi lamaaaaaaa 👎,, bagi yg mau order apapun klo pengirimannya pake kurir rekomendasi mending pikir2 lagi deh !,",1,Negatif
2023-07-20 08:53:11,Famela nurdyah,"Transaksi gagal di proses terus, alhasil kepotong biaya aplikasi 1.000 tiap transaksinya. Mana udah 4 kali dicoba, mayan juga 4.000 kebuang mending buat beli kuaci, makin kesini makin kesana tokped mah",1,Negatif
2023-07-20 08:47:00,Irfan Fauzi,Bisakah tokopedia menambahkan fitur menghapus riwayat pembelian ?? Atau tidak bisakah riwat pembelian tidak terpampang jelas di bagian transaksi ?? Ada barang yang harus nya orang lain tidak boleh tahu itu terlihat jelas di bagian menu nya Saya harap tokopedia memperbaiki ini,3,Positif
2023-07-20 08:43:30,Swanto Swanto,"Ada perubahan di toped Sekarang ada biaya transaksi 1000 ,tambah lagi biaya aplikasi, dan casback+ongkir gk bs digabung 😥😥😢gak kaya sperti dulu",2,Netral
2023-07-20 08:25:01,Aulia Maghribi,"Min tolong fix bug reload saat mengklik ' Semua telah dibaca ' di website, setiap diklik selalu reload dan notifikasi masih tidak terbaca. Dan tolong di mobile dibuatkan fitur ' Semua telah dibaca ' dibagian notifikasi.",4,Positif
2023-07-20 06:47:19,Sann Dia,"Sebagai penjual saya sering merasa dirugikan dengan potongan gaib, gak jelas tiba2 dipotong aja, sistem rusak. Kurir yg gak diaktifkan tapi pembeli bisa pake kurir yg tidak diaktifkan aneh, sukanya makan uang orang tapi bikin sistem gak jelas",1,Negatif
2023-07-20 05:09:14,etty s,"baru pertama belanja udah ditolak transaksinya, perusahaan macam apa yg kesan pertamanya kayak begitu. mending stay di lazada sama shopee aja. buat yg baca review ini hati2 sama voucher pengguna pertamanya, jebakan supaya uang masuk saldo dan mengendap yg kalau diambil kena biaya",1,Negatif
2023-07-20 02:13:35,Asul Chogan,"Makin kecewa sekarang sama Tokopedia, Banyak Voucher yang Tidak berguna, Contohnya saja voucher Tagihan giliran di cek out Voucher tidak berlaku karna melebihi limit, Maksudnya apa coba? Kalau ga berlaku jangan di munculkan Voucernya...",3,Positif
2023-07-20 00:50:04,sugi yanto,"Di Tokopedia untuk ekspedisi tolong jangan pakai jasa anter aja, krn seringnya terlambat mengirimkan paket dan untuk ulasan sebaiknya jasa ekspedisi juga di kasih ulasan bukan hanya penjual saja. Terima kasih",3,Positif
2023-07-19 20:31:46,Goblag Docil,Saya kesulitan karna harus verifikasi dan saya sangat sangat kecewa karna saya tidak bisa beli barang karna harus verifikasi jadi percuma saya download apk toko pedia klo gini mending download shoope gak harus ribet verifikasi klo mau beli apapun. Saya sangat kecewa,1,Negatif
2023-07-19 13:21:19,Mei Rumondang Paulina Matondang,"Sangat mengecewakan. Mau beli HP, malah dibatalkan transaksi, padahal sudah dibayar. Ini dana tertahan 8jutaan belum dikirim ke rekening. Tokopedia care juga tidak care sama sekali. Tokopedia ada apa sih?",1,Positif
2023-07-19 12:29:33,Dapuran Pring,"Kenapa untuk transaksi gagal, uang minimal refound 50 ribu. Sedangkan tidak bisa di top up. Jika nilai tarik kurang dari 50 ribu tidak bisa di tarik. Ini sangat merugikan karna uang harus tetap berada di aplikasi",2,Netral
2023-07-19 11:38:03,moh nurron,"Seharusnya isi Saldo Tokopedia Bisa langsung Lewat ATM BANK. Kalau lewat OVO, GOPAY dsb Jadi Tambah kerjaan. Transfer sana sini, tidak efisien. Mungkin kedepannya bisa langsung. Terimakasih",4,Positif
2023-07-19 11:16:13,First Leo,"Gak bisa update, loading tiada henti. Buggy, toko online skrng kebanyakan update. Uninstall.",1,Negatif
2023-07-19 06:45:44,Bima Dawala,"Enakan belanja di LAZADA / SHOPEE selalu ada gratis ongkir belanja 0 rupiah. Kalo tokped minimal harus belanja 20rebu baru gratis ongkir. Sedangkan barang yang kita butuhin aja harganya kadang ga sampe 20rebu, jadinya lebih mahal.. Bye bye tokped.. saya mau pindah ke LAZADA & SHOPEE",1,Negatif
2023-07-19 06:08:22,andreas wahono,"Saya melakukan banyak transaksi pembelian di Tokopedia krn ada kupon yg dimana memberi Cashback Pertama, Akan tetapi kupon Cashback tersebut tidak masuk.  Jika yg salah tokonya, sesuai yg di informasi, maka tokonya seharusnya yg di tahan dana nya, bukan Cashback saya.  Kedua Kenapa Tokopedia care lama sekali balasnya",1,Positif
2023-07-19 03:57:28,Heri Damanik,"Transaksi batal, tapi refound saya tidak kembali utuh.. aneh makin aneh saja nih tokopedia....apa tidak ada lagi jalan duitnya sehingga buyer yg sudah jadi korban..harus kena potong lagi..",1,Negatif
2023-07-19 03:32:58,Jai namikaze,dulu paling enak belanja di tokopedia tapi sekarang udah mah biaya layanan yg lebih mahal dari toko online yg lain tambah pengiriman nya lama mending di aplikasi si biru biaya layanan lebih murah pengiriman prioritas jadi lebih cepat sampai,1,Negatif
2023-07-19 03:09:27,joko triyono,"Masih konsisten bintang 1, th 2023 mulai mengurangi belanja dari Tokopedia karena ada biaya aplikasi 2rb per transaksi sedangkan toko sebelah masih 1rb & cashback makin kecil..",1,Negatif
2023-07-19 01:48:38,Ridho Maharga,Pesanan saya dibatalkan sistem karena terindikasi curang. Padahal saya tidak melakukan apapun dan cuman pesan biasa emang jelek nih aplikasi niatnya mau majuin startup dalam negeri tapi kalo pelayanannya begini mending pindah ke aplikasi sebelah. Bye bye!!,1,Negatif
2023-07-19 01:43:00,joss bngt,"Saldo 1,999,2900 gopay saya hilang topup siang mlm lose, tidak pernah membagikan otp, pin dan klik link, transaksi 3x pukul 23:59-00:05, respon toped : ""karena berasil toko pedia tidak dpat membatalkan transaksi tersebut"" . Slogan garansi gopay?. paling bner transaksi pakai va, transfer atau CC untuk transaksi. Di sini tidak ada penjelasan kejelasan saldo anda kemana. FYI",1,Negatif
2023-07-19 01:18:06,player box,Nih gimana sih Tokopedia. Saya order lewat kurir sicepat malah di oper ke JNE. Biasanya 2 dari pemesanan udah nyampe. Ini udah 5 hari belum nyampek.,1,Positif
2023-07-18 15:59:04,Minta Sinaga,"saya secara sangat hormat menilai penilaian TOKOPEDIA sangat buruk pelayanan untuk masalah memecahkan solusi ini sangat sangat buruk, dan saya menilai -1 bintang untuk kalian tokopedia.",1,Positif
2023-07-18 15:24:59,ALVAN DUT,"paket saya yang harus sudah sampai tanggal 15 juli tapi sampai tanggal 18 juli belum juga datang saya sudah mengajukan komplain tapi tidak nemu titik masalah nya dan saya sudah chat pihak expedisi gak direspon,paket sudah stagging ditempat terakhir expedisi harus nya sudah di antar oleh kurir tapi belum juga kemana paket saya itu walaupun harga nya tidak mahal tapi harus nya untuk pihak tokopedia dan expedisi lebih profesional hallo JNT kirim dong paket saya",1,Positif
2023-07-18 13:18:10,Masy Hudin,"Kecewa banget.. Sangat TDK memuaskan costumer.. Biaya tambahan lebih mahal, daripada toko sebelah,..hati2 kawan. tetap waspada... SDH d bayar barangnx TDK ada dgn catatan sibuk byk pembelian, memang duit TDK hilang,, tp bikin kesel kecewa pula..",1,Negatif
2023-07-18 12:58:29,Renita Purba,Di tokped enak bisa kelihatan opsi pengiriman yg diaktifkan/terpilih. Gak perlu buat pesanan dulu kayak di apk sebelah. Tapi kenapa selalu opsi pengiriman anteraja atau jnt express. Kemahalan ongkir 59 ribu si anteraja. Paket harus saya ambil sendiri. Voucher masa hanya bisa buat pengguna baru. Yang lama gimana? Masa gak ada potongan. Syaratnya banyak. Biaya bank transfer bca tdk termasuk. Harusnya dimasukin sih kayak di sebelah itu. Apa guna biaya layanan coba. Banyak betul biaya tambahan.,1,Negatif
2023-07-18 12:23:31,Helny juliani,Parah sih.. mereka yg nyediain promo buat akun bru. Tpi pas co dan sdh byr malah di cancle otomatis sama sistemnya.tolong dong gmn bisa prcyaan klo kyk gini. Iyh sih dana di kembalikn tpi jdi msk ke saldo tokopedianya. G bisa di tarik lagi.g bakal mau blnja dsini.,1,Positif
2023-07-18 09:02:45,Nivia Nisa,"saya belanja di tokopedia barang tidak sampai, dan pihak penjual claim barang hilang, lalu transaksi berhasil dan dana diteruskan ke penjual, tapi tidak ada pengembalian dana kepada saya, padahal admin cs tokopedia bilang dana akan di teruskan ke penjual dan dikembalikan ke pembeli dengan waktu 2hari kalender, tapi saya tunggu hingga 3hari tidak ada pengembalian dana kepada saya.",1,Positif
2023-07-18 08:23:49,Eka 08,Satu kata...udah cukup sampai disini belanja di tokopedia ...sangat sangat amat mengecewakan...gak usah promo cashback/diskon gak usah kalau pada akhirnya gak bisa digabung dengan bebas ongkir...pikir aja dipikir promo diskon tapi sama dengan biaya ongkir sama aja bohong...,1,Positif
2023-07-18 07:55:27,sang peracik,"Apk tokped ny makin parah, mau liat komen pembeli kok kata ny gk jaringan, trus mau liat toko sendiri aj pun gk bisa selalu muncul notif ""sebentar lagi download, maaf saat ini kamu tdk ad jaringan"" aneh aneh ak pke paket data kok gk ad jringan. Jauh lbh baik dri apk sebelah si ORANGE makin bagus 👍👍",1,Negatif
2023-07-18 07:21:31,Herry Bong,"Ongkirnya ternyata tidak free sama sekali seperti dulu.,dan banyak biaya lain .sejak itu lebih memilih yg logo kuning.sepertinya mesti di hapus sudah,penuhkan memori saja.",1,Negatif
2023-07-18 06:44:02,Budi Nursin,"Tgl.9 saya belanja hp online toko surabaya sistem byr kontan dgn pengiriman toko jasa JNE, tapi saya lihat status pengiriman pakai jasa ID.Express Lah kok bisa..!!! Saya curiga ada OKNUM pengiriman. Tgl.14 paket sampai dgn pengirim ID.Express yg saya terima paket KOSONG. Saya langsung k kntor JNE malang bawa no resi dr toko ternyata paket saya masih ada di gudang JNE. Jadi intinya ada OKNUM antara JNE dgn ID.Express, ini sangat merugikan penjual dan pembeli. Hati2 blnja d tokopedia mending COD.",1,Negatif
2023-07-18 06:30:22,Hafidz Habibulloh,"Saya tanya di pusat bantuan tokopedia care, tidak ada jawaban respon dari pihak tokped. Padahal katanya kalau Pelanggan plus akan menerima layanan prioritas pada saat menggunakan tokopedia care. Tapi setelah langganan sama aja lama balasannya, malah lebih lama dari waktu tidak berlangganan.",1,Positif
2023-07-18 05:08:13,sahanen sahanen,"Tokopedia semakin profesional, juga para seller dan kurirnya. Teruslah berinovasi setiap waktu.",5,Positif
2023-07-18 04:09:57,widi zulkarnaen,"Ketika komplain untuk penukaran barang,karena barang yang diterima tidak sesuai, tokped tidak bersikap netral & bijak. Komplenan konsumen tidak direspon dengan baik padahal bukti foto dan vidio sudah di lampirkan. Tokped lebih menyelesaikan orderan dengan meneruskan dana ke seller. Hal ini menjadi pengalaman saya sebagai konsumen berbelanja disini tidak merasa aman dan nyaman.",1,Negatif
2023-07-18 03:47:55,Eko Mastero,Kenapa akhir² ini saat melakukan memakai voucher untuk diskon atau cashback selalu dibatalkan sistem?! Padahal saya tidak merasa melanggar aturan apapun dan transaksinya sdh tidak bisa digabung gratis ongkir lagi?!,2,Netral
2023-07-18 02:48:28,Cipta Anugrah Prima,"Sooooooo Baaaaaddddddd... Makin kesini makin gak jelas aplikasinya, mau order malah dibatalin dibilang melanggar syarat dan ketentuan.. Gak dijelasin yg melanggarnya bagian mana.. Padahal dr dulu udh sering belanja di toko tsb Minta bantuan ke cs gk ada respon.. LAMBAT SEKALIII Mana sekarang promonya gratis ongkir dan cashbacknya kecil, udh gitu hatus pilih salah 1 promonya.. Kalah sama aplikasi SOPI dan BELIBLI",1,Negatif
2023-07-17 23:45:53,Nugroho Setyo,"promonya ribet, kuponnya sulit terlihat, terlalu banyak biaya tambahan di fiturnya dan lain². termasuk biaya rp 1 rb per transaksi gopay, gopay coin macet.",2,Netral
2023-07-17 23:04:42,Belinda Hannahania,Promo cashback tidak bisa dipakai bersamaan dengan bebas ongkir lagi. Ada biaya layanan 2.000 yg kemahalan setiap transaksi. Tokopedia tidak seperti dulu yg royal kasih cashback.,1,Positif
2023-07-17 23:02:33,Irsan Maulana,Disini bukan mau ngebandingin sama apk orange sebelah. Tapi kurasa emang disini sedikit mahal apalagi untuk jasa kirim yg paling mahal ku bayar sekitar 6 ribu dari Jakarta di apk sebelah untuk regular jnt nya dan sering gratis. Disini tidak disini lebih mahal dan apalagi di diskon dan jumlah nya semua tidak ada yg berkurang malah makin mahal dan nombok sih. Itu aja yg menurut ku besar perbedaannya.,1,Negatif
2023-07-17 22:34:30,Elevens One,"Tolong perbaiki, tampilan gambar tidak muncul/lama, mau lihat produk tapi lama tampil gambarnya, padahal snpdragon 888 beda dgn shope langsung tampil gambarnya",1,Negatif
2023-07-17 16:52:01,Erika Suryaningsih,"Voucher gratis ongkir tidak bisa dipakai bersama dengan voucher diskon, harus pilih 1, kenapa gabisa digabung kaya aplikasi sebelah? Terus biaya jasa aplikasi Rp.2000 ditambah biaya layanan Rp.1000 belum ditambah biaya wajib asuransi, banyak banget admin nya, checkout nya ribet, semoga masukan saya didengar, saya harap selanjutnya voucher gratis ongkir dan voucher diskon bisa dipakai bersamaan, dan biaya admin bisa dikurangi",1,Negatif
2023-07-17 14:47:32,Damar Ardiyansyah,Ampun dah 2 kali lo saya beli barang di sini pesanan selalu di batalkan oleh sistem waktu itu juga sempat uninstall giliran install apk ini lagi malah sama aja ngajelas saldo yg pertama karna pembatalan jadi ilang sekarang sama lagi status di batalkan oleh sistem,1,Negatif
2023-07-17 14:03:02,Mohamad Riqob,"Pakai bebas ongkir dikirim pake kurir rekomendasi lama banget ngga kaya dulu lagi, dulu pakai satu kurir ngga ganti ganti, kaya sekarang jadi makin lama. Pake ganti"" kurir segala jadi makin jelek makin lelet.👎👎👎👎👎",1,Negatif
2023-07-17 11:25:21,Audio Tone,"Dulu tahun 2019 toped bisa diandalkan utk para konsumen maupun retail, karena ada gratis ongkirnya...tapi sekarang ongkir makin mahal...KAPOOOOOOK...!!! Dulu sy pelanggan setia toped, tapi sekarang jadi pelanggan setia shopee...🤭 Semoga ada perubahanlah....😩",1,Negatif
2023-07-17 09:49:54,Riris Ismawati,"Kupon cashback yang ada ditokopedia tidak seperti dulu,,sekarang banyak jebakan sudah transaksi sesuai syarat dan ketentuan tapi pada akhirnya kupon cashback dibatalkan,,saya 6kali transaksi dibulan juli ini dibatalkan tanpa sebab",1,Positif
2023-07-17 07:06:04,Rifqi Muttaqin,"akun udah kena larangan free ongkir, karena saya mau pake promo tapi kena cancel terus sama aplikasi, udah biaya admin naik, tambah ga bisa free ongkir... makin mantap pake sopi, saatnya ninggalin tokped",1,Negatif
2023-07-17 06:44:05,judi Tri,"Belanja di tokped sebenarnya enak, bisa bayar pakai gopay, cuma penjualnya 99℅ low respon, chating juga slow respon... Pembatalan ga sehebat olshop L, pilihan pengiriman lumayan banyak tetap aja slow... To bad..",1,Negatif
